"","response","Uganda (% of respondents)","Kenya (% of respondents)"
"1","Being a member of a local group (women's groups etc)",0.160377358490566,0.0204081632653061
"2","Centres of Excellence",0.0660377358490566,0.0408163265306122
"3","Extension workers from your cooperative",0.528301886792453,0.122448979591837
"4","Guidance from farmer promoters",0.349056603773585,0.387755102040816
"5","Internet",0,0
"6","Mobile phones",0.0188679245283019,0.122448979591837
"7","My own experimentation",0.566037735849057,0.346938775510204
"8","Newspapers",0.0188679245283019,0.0816326530612245
"9","Radio stations",0.415094339622642,0.591836734693878
"10","Sharing with other farmers/friends/family",0.575471698113208,0.428571428571429
"11","Television",0.00943396226415094,0.142857142857143
"12","Training materials / leaflets",0.0566037735849057,0.0204081632653061
"13","Training sessions/workshops (including FFSs)",0.320754716981132,0.163265306122449
"14","WeFarm",0,0.0408163265306122
