Unnamed: 0,SbjNum,Latitude,Longitude,Q128.SatisfactionSupportInformation,Q129.InformationFromWhere.O1,Q129.InformationFromWhere.O2,Q129.InformationFromWhere.O3,Q129.InformationFromWhere.O4,Q129.InformationFromWhere.O5,Q129.InformationFromWhere.O6,Q129.InformationFromWhere.O7,Q129.InformationFromWhere.O8,Q129.InformationFromWhere.O9,Q129.InformationFromWhere.O10,Q129.InformationFromWhere.O11,Q129.InformationFromWhere.O12,Q129.InformationFromWhere.O13,Q129.InformationFromWhere.O14,Q129.InformationFromWhere.O15,Q129.InformationFromWhere.O16,Q129.InformationFromWhere.O17,Q129.InformationFromWhere.O18,Q129.InformationFromWhere.O19.Text,Q130.AgExperimentsFrequency,Q130.AgExperimentsFrequency.Text,Q131.AgSharingFrequency,Q131.AgSharingFrequency.Text,Q132.FarmPromotorGuidanceFrequency,Q132.FarmPromotorGuidanceFrequency.Text,Q133.CoopExtensionSupportFrequency,Q133.CoopExtensionSupportFrequency.Text,Q134.ExtensionOfficerVisitFrequency,Q134.ExtensionOfficerVisitFrequency.Text,Q135.RadioStationFrequency,Q135.RadioStationFrequency.Text,Q136.WeFarmFrequency,Q136.WeFarmFrequency.Text,Q137.MobileFrequency,Q137.MobileFrequency.Text,Q138.NewspaperFrequency,Q138.NewspaperFrequency.Text,Q139.TVFrequency,Q139.TVFrequency.Text,Q140.InternetFrequency,Q140.InternetFrequency.Text,Q141.CenterOfExcellenceFrequency,Q141.CenterOfExcellenceFrequency.Text,Q142.LocalGroupFrequency,Q142.LocalGroupFrequency.Text,Q143.TrainingSessionFrequency,Q143.TrainingSessionFrequency.Text,Q144.TrainingMaterialsFrequency,Q144.TrainingMaterialsFrequency.Text,Q145.MostValuableSources.O1,Q145.MostValuableSources.O2,Q145.MostValuableSources.O3,Q145.MostValuableSources.O4,Q145.MostValuableSources.O5,Q145.MostValuableSources.O6,Q145.MostValuableSources.O7,Q145.MostValuableSources.O8,Q145.MostValuableSources.O9,Q145.MostValuableSources.O10,Q145.MostValuableSources.O11,Q145.MostValuableSources.O12,Q145.MostValuableSources.O13,Q145.MostValuableSources.O14,Q165.ShareNewFarmingPractice,Q165.ShareNewFarmingPractice.Other,Q166.ShareNewFarmingPractice.Example,Q167.HowOftenShareIdeas,Q168.WhoShareIdeaWith,Q169.HowShareInfo.O1,Q169.HowShareInfo.O2,Q169.HowShareInfo.O3,Q169.HowShareInfo.O4,Q169.HowShareInfo.O5,Q169.HowShareInfo.O6,Q169.HowShareInfo.O7,Q169.HowShareInfo.O8,Q169.HowShareInfo.O9,Q169.HowShareInfo.O10.Text,Q174.ReceivedFarmerPromotor,Q175.FarmerPromotorSupportObtained.O1,Q175.FarmerPromotorSupportObtained.O2,Q175.FarmerPromotorSupportObtained.O3,Q175.FarmerPromotorSupportObtained.O4.Text,Q176.SatisfactionFarmerPromotorTraining,Q178.SatisfactionFarmerPromotorDemoPlot,Q182.SatisfactionFarmerPromotorOther,Q184.GPS.Latitude,Q184.GPS.Longitude
0,23969380,0.708067,30.45203551,5,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,13,4,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,vist farmers direct,every chance i get,fellow farmers,1,-2,-2,-2,-2,-2,-2,-2,-2,,1,3,-2,-2,to incourage farmers to come  back to mabale tea factory,3,4,,0.708067,30.45203551
1,23969381,0.704302351,30.46769079,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,,8,after two years,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,13,12,11,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,I would share how can one come up with ideas,weekly,fellow farmers,1,3,-2,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.704302352,30.46769079
2,23969382,0.696327291,30.4589568,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,,-1,,4,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,11,14,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,mobilise farmers on the centres and talk to them,farmer meetings,fellow farmers,1,6,7,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.696327292,30.45895679
3,23969383,0.698808661,30.48556936,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,,1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,7,,7,,3,11,13,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,Best practices,always,fellow farmers,1,6,7,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.698808661,30.48556936
4,23969384,0.696545388,30.45861846,5,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,,5,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,8,None,-1,,-1,,8,once,13,5,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,Best practices,Every time i get a chance,felloq farmers,1,6,7,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.696545388,30.45861846
5,23969385,0.670849597,30.4826225,5,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,14,13,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,2,,,,,,,,0.670849597,30.4826225
6,23969386,0.681657414,30.48909282,5,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,8,,-1,,-1,,7,,7,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,4,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,the exact information i get  from the source,Always,fellow intreasted farmers,7,-2,-2,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.681657414,30.48909282
7,23969387,0.697371611,30.48265654,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,,1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,4,,-1,,11,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,information n ideas,always,fellow and neighbours,7,-2,-2,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.697371611,30.48265654
8,23969388,0.693609927,30.48793177,5,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,,8,any time we get a chance,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,14,13,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,i would share knowledge,always,fellow farmers,1,-2,-2,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.693609927,30.48793177
9,23969389,0.696321961,30.45830551,5,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,13,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,3,,Knowledge,always,fellow farmers,1,6,7,-2,-2,-2,-2,-2,-2,,2,,,,,,,,0.696321961,30.45830551
