SbjNum,country,experiments,sharing,training,print,broadcast,digital,summary,satisfaction
24574821,Kenya,1,0,0,0,0,0,neither,3
24574822,Kenya,1,0,0,0,0,0,neither,4
24574823,Kenya,0,1,0,0,0,0,neither,3
24574824,Kenya,0,0,1,0,1,0,in-person,2
24574825,Kenya,0,1,1,0,0,0,in-person,2
24574826,Kenya,0,1,0,0,1,0,neither,4
24574827,Kenya,1,0,0,0,0,0,neither,3
24574828,Kenya,0,1,0,0,1,0,neither,2
24574829,Kenya,0,1,0,0,0,0,neither,2
24574830,Kenya,0,0,0,0,1,0,neither,4
24574843,Kenya,0,0,1,0,1,0,in-person,1
24574844,Kenya,1,0,1,1,1,0,in-person,1
24574845,Kenya,0,0,1,0,0,0,in-person,4
24574846,Kenya,1,0,1,0,1,0,in-person,2
24574847,Kenya,0,0,1,0,1,1,both,4
24574848,Kenya,1,0,1,0,1,0,in-person,2
24574849,Kenya,0,1,1,0,1,0,in-person,2
24574850,Kenya,0,1,1,1,1,0,in-person,2
24574851,Kenya,0,1,1,1,1,0,in-person,2
24574852,Kenya,0,0,1,1,1,0,in-person,1
24574853,Kenya,0,1,1,0,1,0,in-person,5
24576992,Kenya,0,0,1,0,0,1,both,1
24576993,Kenya,1,0,0,0,0,0,neither,1
24576994,Kenya,1,0,1,0,0,0,in-person,1
24576995,Kenya,1,0,0,1,0,1,digital,1
24576996,Kenya,1,0,0,1,0,1,digital,1
24576997,Kenya,1,0,1,1,1,0,in-person,1
24576998,Kenya,1,1,0,0,0,0,neither,1
24576999,Kenya,1,1,0,1,0,1,digital,2
24577000,Kenya,1,1,0,1,0,1,digital,1
24577001,Kenya,1,1,1,0,0,0,in-person,1
24577002,Kenya,1,1,0,1,1,1,digital,1
24579892,Kenya,0,0,1,0,1,0,in-person,5
24579893,Kenya,0,0,1,0,1,1,both,1
24579894,Kenya,0,1,1,0,1,0,in-person,1
24579895,Kenya,0,0,1,0,1,0,in-person,2
24579896,Kenya,0,1,1,0,1,1,both,1
24579897,Kenya,0,0,1,1,1,1,both,1
24579898,Kenya,1,1,1,1,1,1,both,1
24579899,Kenya,1,1,0,0,1,0,neither,2
24579900,Kenya,1,1,1,1,1,1,both,1
24579901,Kenya,0,1,1,0,1,0,in-person,5
24579902,Kenya,1,0,1,0,1,0,in-person,2
24579923,Kenya,1,1,0,0,1,0,neither,1
24579924,Kenya,1,1,1,0,1,0,in-person,2
24579925,Kenya,1,0,0,0,1,0,neither,3
24579926,Kenya,1,0,0,0,1,0,neither,2
24579927,Kenya,1,0,1,0,1,0,in-person,1
24579928,Kenya,1,0,1,0,1,0,in-person,1
24579929,Kenya,0,0,1,0,1,0,in-person,2
24579930,Kenya,1,1,1,0,1,0,in-person,1
24579931,Kenya,0,1,1,0,1,0,in-person,1
24579932,Kenya,1,0,1,0,1,0,in-person,1
24579933,Kenya,1,0,1,1,1,0,in-person,1
24579940,Kenya,1,0,1,0,1,0,in-person,1
24579941,Kenya,1,1,0,0,0,1,digital,2
24579942,Kenya,1,1,0,0,1,0,neither,2
24579943,Kenya,1,1,1,0,1,0,in-person,1
24579944,Kenya,1,1,1,1,1,1,both,1
24579945,Kenya,1,1,1,1,1,0,in-person,1
24579946,Kenya,0,1,1,0,1,1,both,1
24579947,Kenya,1,1,1,1,1,0,in-person,1
24579948,Kenya,1,1,1,0,1,1,both,1
24579949,Kenya,1,0,0,1,1,1,digital,1
24579950,Kenya,1,0,1,0,1,0,in-person,1
24579961,Kenya,1,0,1,0,1,0,in-person,1
24579962,Kenya,1,1,1,0,1,0,in-person,1
24579963,Kenya,1,1,1,1,1,1,both,1
24579964,Kenya,1,1,1,0,1,0,in-person,1
24579965,Kenya,0,1,1,0,1,0,in-person,1
24579966,Kenya,1,1,1,1,1,0,in-person,1
24579967,Kenya,1,0,1,0,1,0,in-person,1
24579968,Kenya,0,1,1,0,1,0,in-person,1
24579969,Kenya,1,0,1,0,1,0,in-person,1
24579970,Kenya,1,1,1,0,1,0,in-person,1
24579971,Kenya,0,1,1,1,1,0,in-person,1
24579982,Kenya,1,1,1,0,1,0,in-person,1
24579983,Kenya,0,1,1,0,1,0,in-person,1
24579984,Kenya,1,1,1,1,1,0,in-person,1
24579985,Kenya,1,1,1,1,0,0,in-person,1
24579986,Kenya,0,1,1,0,1,1,both,1
24579987,Kenya,1,0,1,0,1,0,in-person,1
24579988,Kenya,1,1,1,0,1,0,in-person,1
24579989,Kenya,1,1,1,0,1,0,in-person,1
24579990,Kenya,1,1,1,0,1,0,in-person,1
24579991,Kenya,1,1,1,0,1,0,in-person,1
24579992,Kenya,1,1,1,0,1,0,in-person,1
24580001,Kenya,1,1,1,0,1,0,in-person,1
24580002,Kenya,1,1,1,1,1,1,both,2
24580003,Kenya,1,1,1,1,1,1,both,1
24580004,Kenya,1,1,1,1,1,1,both,5
24580005,Kenya,1,1,1,1,1,1,both,1
24580006,Kenya,1,1,1,0,1,0,in-person,1
24580007,Kenya,1,1,1,0,1,0,in-person,1
24580095,Kenya,0,1,0,0,1,0,neither,2
24580096,Kenya,0,1,0,0,1,0,neither,4
24580097,Kenya,0,0,1,0,1,0,in-person,4
24580098,Kenya,0,0,1,0,1,0,in-person,4
24580099,Kenya,0,0,0,0,1,0,neither,4
24580100,Kenya,1,0,0,0,1,0,neither,4
24580101,Kenya,0,0,0,1,1,0,neither,4
24580102,Kenya,0,1,0,1,1,0,neither,4
24580103,Kenya,1,0,0,0,1,0,neither,2
24580104,Kenya,1,0,0,0,1,0,neither,1
24580105,Kenya,0,1,1,0,0,0,in-person,1
24580110,Kenya,1,0,1,0,1,0,in-person,4
24580111,Kenya,1,0,0,0,1,0,neither,4
24580112,Kenya,0,1,0,0,1,0,neither,4
24580113,Kenya,0,0,1,0,1,0,in-person,2
24580114,Kenya,0,0,0,0,1,0,neither,4
24580115,Kenya,0,0,1,0,0,0,in-person,4
24580116,Kenya,0,0,1,0,1,0,in-person,4
24580117,Kenya,0,0,1,0,1,0,in-person,4
24580118,Kenya,1,0,0,0,0,0,neither,4
24580119,Kenya,1,0,0,0,0,0,neither,4
24580120,Kenya,0,0,0,0,1,0,neither,4
24580125,Kenya,1,0,0,0,1,0,neither,5
24580126,Kenya,0,0,0,0,1,0,neither,1
24580127,Kenya,1,0,0,0,1,0,neither,4
24580128,Kenya,0,0,1,0,0,0,in-person,4
24580129,Kenya,1,0,1,1,1,0,in-person,1
24580130,Kenya,1,1,1,0,1,0,in-person,1
24580131,Kenya,1,1,1,0,1,0,in-person,1
24580132,Kenya,1,1,1,0,1,0,in-person,1
24580133,Kenya,0,1,1,0,1,0,in-person,1
24580134,Kenya,0,0,0,0,1,0,neither,5
