Unnamed: 0,SbjNum,Latitude,Longitude,Q21.Income.Food.O1,Q21.Income.SchoolFees.O2,Q21.Income.MedicalBills.O3,Q21.Income.Clothes.O4,Q21.Income.Energy.O5,Q21.Income.Other.O6,Q21.Income.Other.O6.Text,Q29.Income,Q30.MainCashCrop,Q30.Other.Text,Q33.CashCropSold,Q34.CashCropUsed,Q35.CashCropSavedForSeed,Q36.CashCropLost,Q37.CauseOfLoss.O1,Q37.CauseOfLoss.O2,Q37.CauseOfLoss.O3,Q37.CauseOfLoss.O4,Q37.CauseOfLoss.Other.Text,Q38.CashCropEarnings,Q39.CashCropPx,Q40.CostOfProduction,Q41.AverageYear,Q42.ProductionHigherLower,Q63.ProductionCost,Q64.AverageYear,Q65.ProductionHigherLower,Q69.AmountEarnedCattle,Q70.NumberCattleSold,Q71.PxPerCattle,Q72.TotalEarningCattle,Q73.AmountEarnedGoats,Q74.NumberGoatsSold,Q75.PxPerGoat,Q76.TotalEarningGoats,Q77.AmountEarnedPigs,Q78.NumberPigsSold,Q79.PxPerPig,Q80.TotalEarningPigs,Q81.AmountEarnedChickens,Q82.NumberChickensSold,Q83.PxPerChicken,Q84.TotalEarningsChickens,Q85.RearOtherAnimal,Q86.OtherAnimalType,Q87.OtherAnimalPx,Q88.TotalEarningOtherAnimal,Q89.MainSourcesIncome.1st,Q89.MainSourcesIncome.2nd,Q89.MainSourcesIncome.3rd,Q89.MainSourcesIncome.4th,Q89.MainSourcesIncome.5th,Q89.MainSourcesIncome.TeaIncome,Q89.MainSourcesIncome.CoffeeIncome,Q89.MainSourcesIncome.BananaIncome,Q89.MainSourcesIncome.MaizeIncome,Q89.MainSourcesIncome.HydroponicsIncome,Q89.MainSourcesIncome.BeansIncome,Q89.MainSourcesIncome.LivestockIncome,Q89.MainSourcesIncome.BeekeepingIncome,Q89.MainSourcesIncome.TreeIncome,Q89.MainSourcesIncome.FishIncome,Q89.MainSourcesIncome.HandicraftIncome,Q89.MainSourcesIncome.KitchenGardenIncome,Q89.MainSourcesIncome.SalaryJobIncome,Q89.MainSourcesIncome.CasualLaborIncome,Q89.MainSourcesIncome.RemitIncome,Q89.MainSourcesIncome.GoatIncome,Q89.MainSourcesIncome.PigIncome,Q89.MainSourcesIncome.CattleIncome,Q89.MainSourcesIncome.ChickenIncome,Q89.MainSourcesIncome.Other,Q21.Income.Other.O6.Text.Tags
1,24574821,,,2,4,-2,-2,-2,-2,,5,2,,100,0,0,1,1,-2,-2,-2,,360000,30,50000,1,2,2400,1,3,0,0,0,0,,,,,,,,,,,,,,,,,1,3,-2,-2,-2,360000,,1000,,,,,,,,,,,,,,,,,,['loans']
2,24574822,,,1,4,-2,-2,-2,-2,,5,2,,100,0,0,5,,,,,,60000,30,20000,1,2,30000,1,2,0,0,0,50000,,,,,,,,,,,,,,,,,1,-2,-2,-2,-2,60000,,,,,,,,,,,,,,,,,,,,['loans']
3,24574823,,,1,2,3,4,-2,-2,,5,2,,100,0,0,5,,,,,,50000,30,23000,1,2,,,,30000,1,0,30000,,,,,,,,,,,,,,,,,1,-2,-2,-2,-2,60000,,,,,,,,,,,,,,,,,,,,['wages']
4,24574824,,,1,2,-2,-2,-2,-2,,5,2,,100,0,0,5,,,,,,117000,30,50000,1,3,3000,1,3,0,0,0,0,,,,,,,,,,,,,,,,,1,3,6,-2,-2,11700,,2100,,,1440,,,,,,,,,,,,,,,['farm costs']
5,24574825,0.15252748,35.14316246,1,2,-2,-2,-2,-2,,4,2,,100,0,0,5,,,,,,300000,30,40000,2,4,7000,1,2,25000,1,25000,50000,,,,,,,,,,,,,,,,,1,4,7,-2,-2,300000,,,9000,,,25000,,,,,,,,,,,,,,['livestock']
6,24574826,0.15502968,35.11478567,2,4,-2,-2,-2,-2,,1,2,,75000,0,0,5,,,,,,75000,30,30000,2,4,7000,1,2,,0,0,0,,,,,,,,,,,,,,,,,1,6,-2,-2,-2,75000,,,,,9000,,,,,,,,,,,,,,,['farm costs']
7,24574827,0.13734231,35.1008844,2,3,-2,-2,-2,-2,,1,2,,100,0,0,5,,,,,,180000,30,50000,1,2,1000,1,2,0,0,0,0,,,,,,,,,,,,,,,,,1,3,-2,-2,-2,18000,,1800,,,,,,,,,,,,,,,,,,['farm costs']
8,24574828,0.13234877,35.10521162,1,2,-2,-2,-2,-2,,5,2,,100,0,0,1,1,-2,-2,-2,,300000,30,100000,1,3,5000,1,4,0,0,0,0,,,,,,,,,,,,,,,,,1,-2,-2,-2,-2,300000,,,,,,,,,,,,,,,,,,,,['farm costs']
9,24574829,0.110891,35.08190263,3,6,-2,-2,-2,-2,loans,4,2,,100,0,0,5,,,,,,180000,30,70000,2,4,,,,25000,0,0,25000,,,,,,,,,,,,,,,,,1,-2,-2,-2,-2,180000,,,,,,,,,,,,,,,,,,,,['farm costs']
10,24574830,0.11023194,35.08168103,1,2,-2,-2,-2,-2,pluckers,2,2,,100,0,1,5,,,,,,15000,30,44000,1,2,3000,1,2,12000,0,0,12000,,,,,,,,,,,,,,,,,1,-2,-2,-2,-2,150000,,,,,,,,,,,,,,,,,,,,['farm costs']
11,24574843,,,1,2,3,4,5,6,Farming costs,2,2,,100,100,5,5,,,,,,70000,20,35000,2,4,,,,40000,0,0,40000,,,,,,,,,,,,,,,,,1,18,-2,-2,-2,1,,,,,,,,,,,,,,,,,2,,,['farm costs']
12,24574844,,,1,2,3,4,5,-2,,4,2,,100,0,3,5,,,,,,160000,20,30000,2,2,,,,80000,0,0,80000,,,,,,,,,,,,,,,,,1,18,-2,-2,-2,1,,,,,,,,,,,,,,,,,2,,,['farm costs']
13,24574845,,,1,2,3,4,-2,-2,,4,2,,100,0,0,5,,,,,,48000,20,30000,2,4,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['farm costs']
14,24574846,,,1,2,3,4,5,-2,,4,2,,100,100,3,5,,,,,,150000,20,25000,1,3,3000,1,2,18000,0,0,18000,,,,,,,,,,,,,,,,,1,3,18,-2,-2,1,,2,,,,,,,,,,,,,,,3,,,['farm costs']
15,24574847,,,1,2,3,4,-2,-2,,5,2,,100,100,0,5,,,,,,500000,20,280000,1,1,300000,2,1,0,5,20000,150000,,,,,,,,,,,,,,,,,1,20,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,Tomatoes,['farm costs']
16,24574848,,,1,2,3,4,5,-2,,3,2,,100,100,3,1,1,-2,-2,-2,,40000,20,15000,2,4,5000,2,4,0,0,0,0,,,,,,,,,30000,10,3,30000,,,,,1,19,-2,-2,-2,1,,,,,,,,,,,,,,,,,,2,,['wages']
17,24574849,,,1,2,3,4,-2,-2,,4,2,,100,100,3,5,,,,,,144000,20,20000,2,4,5000,2,5,0,1,48000,48000,,,,,,,,,,,,,,,,,1,18,-2,-2,-2,1,,,,,,,,,,,,,,,,,2,,,['farm costs']
18,24574850,,,1,2,3,4,5,-2,,5,2,,100,100,0,5,,,,,,336000,20,35000,2,2,,,,0,2,22000,44000,,,,,,,,,,,,,,,,,1,-1,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['farm costs']
19,24574851,,,1,2,3,4,-2,-2,,1,2,,100,100,1,5,,,,,,20100,20,3000,2,4,4000,2,4,50000,0,0,50000,,,,,,,,,,,,,,,,,1,3,18,-2,-2,2,,3,,,,,,,,,,,,,,,1,,,"['farm costs', 'wages']"
20,24574852,,,1,2,3,4,6,-2,Cow feeds,1,2,,100,100,0,5,,,,,,240000,20,10000,1,2,4000,1,2,108000,0,0,108000,,,,,,,,,,,,,,,,,1,3,18,-2,-2,1,,3,,,,,,,,,,,,,,,2,,,['wages']
21,24574853,,,1,2,3,4,5,-2,,5,2,,100,100,0,5,,,,,,160000,20,90000,2,4,15000,2,5,81000,1,25000,106000,,,,,,,,,,,,,,,,,1,18,-2,-2,-2,1,,,,,,,,,,,,,,,,,2,,,['wages']
22,24576992,0.10477044,35.18006136,1,2,3,4,5,-2,,3,2,,100,60,20,1,1,2,3,-2,,160000,27,50000,1,1,60000,1,3,,,,,,,,,,,,,,,,,,,,,1,3,6,12,14,1,,2,,,3,,,,,,5,,4,,,,,,,['wages']
23,24576993,0.14964365,35.15610853,1,2,3,4,5,-2,,2,2,,100,50,15,1,1,2,3,-2,,54000,27,40000,2,3,60000,2,3,,,,,,,,,,,,,,,,,,,,,1,3,4,12,-1,1,,3,2,,,,,,,,4,,,,,,,,,"['farm costs', 'wages']"
24,24576994,0.18492679,35.11882106,1,2,3,4,5,-2,,4,2,,100,100,0,1,1,2,3,-2,,124000,25,80000,2,4,10000,2,4,,0,0,0,,,,,,,,,,,,,2,,,,1,3,4,-2,-2,1,,2,3,,,,,,,,,,,,,,,,,"['farm costs', 'wages']"
25,24576995,0.16162687,35.11874846,1,2,3,4,5,-2,,5,2,,100,75,15,1,1,2,3,-2,,350000,25,200000,2,3,,,,60,1,75000,130000,,,,,,,,,,,,,,,,,1,7,-2,-2,-2,1,,,,,,2,,,,,,,,,,,,,,"['farm costs', 'wages']"
26,24576996,0.14912258,35.14301585,1,2,3,4,5,-2,,5,2,,100,0,0,5,,,,,,87500,25,60000,2,4,,,,120000,0,0,120000,,,,,,,,,,,,,,,,,1,7,-2,-2,-2,1,,,,,,2,,,,,,,,,,,,,,"['farm costs', 'wages']"
27,24576997,0.15682544,35.11516432,1,2,3,4,5,-2,,4,2,,100,100,0,5,,,,,,146000,25,75000,1,3,,,,84000,0,0,0,,,,,,,,,,,,,,,,,1,7,-2,-2,-2,1,,,,,,2,,,,,,,,,,,,,,"['wages', 'savings', 'livestock']"
