Unnamed: 0,SbjNum,Latitude,Longitude,Q21.Income.Food.O1,Q21.Income.SchoolFees.O2,Q21.Income.MedicalBills.O3,Q21.Income.Clothes.O4,Q21.Income.Energy.O5,Q21.Income.Other.O6,Q21.Income.Other.O6.Text,Q29.Income,Q30.MainCashCrop,Q30.Other.Text,Q33.CashCropSold,Q34.CashCropUsed,Q35.CashCropSavedForSeed,Q36.CashCropLost,Q37.CauseOfLoss.O1,Q37.CauseOfLoss.O2,Q37.CauseOfLoss.O3,Q37.CauseOfLoss.O4,Q37.CauseOfLoss.Other.Text,Q38.CashCropEarnings,Q39.CashCropPx,Q40.CostOfProduction,Q41.AverageYear,Q42.ProductionHigherLower,Q63.ProductionCost,Q64.AverageYear,Q65.ProductionHigherLower,Q69.AmountEarnedCattle,Q70.NumberCattleSold,Q71.PxPerCattle,Q72.TotalEarningCattle,Q73.AmountEarnedGoats,Q74.NumberGoatsSold,Q75.PxPerGoat,Q76.TotalEarningGoats,Q77.AmountEarnedPigs,Q78.NumberPigsSold,Q79.PxPerPig,Q80.TotalEarningPigs,Q81.AmountEarnedChickens,Q82.NumberChickensSold,Q83.PxPerChicken,Q84.TotalEarningsChickens,Q85.RearOtherAnimal,Q86.OtherAnimalType,Q87.OtherAnimalPx,Q88.TotalEarningOtherAnimal,Q89.MainSourcesIncome.1st,Q89.MainSourcesIncome.2nd,Q89.MainSourcesIncome.3rd,Q89.MainSourcesIncome.4th,Q89.MainSourcesIncome.5th,Q89.MainSourcesIncome.TeaIncome,Q89.MainSourcesIncome.CoffeeIncome,Q89.MainSourcesIncome.BananaIncome,Q89.MainSourcesIncome.MaizeIncome,Q89.MainSourcesIncome.HydroponicsIncome,Q89.MainSourcesIncome.BeansIncome,Q89.MainSourcesIncome.LivestockIncome,Q89.MainSourcesIncome.BeekeepingIncome,Q89.MainSourcesIncome.TreeIncome,Q89.MainSourcesIncome.FishIncome,Q89.MainSourcesIncome.HandicraftIncome,Q89.MainSourcesIncome.KitchenGardenIncome,Q89.MainSourcesIncome.SalaryJobIncome,Q89.MainSourcesIncome.CasualLaborIncome,Q89.MainSourcesIncome.RemitIncome,Q89.MainSourcesIncome.GoatIncome,Q89.MainSourcesIncome.PigIncome,Q89.MainSourcesIncome.CattleIncome,Q89.MainSourcesIncome.ChickenIncome,Q89.MainSourcesIncome.Other,Q21.Income.Other.O6.Text.Tags
0,23969380,0.708067,30.45203551,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,5.4m,300,"5,400,000",2,5,,2,4,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,['wages']
1,23969381,0.704302351,30.46769079,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,3.6m,300,3.6m,1,3,2000,1,3,"320,000",milk 40l evryday,40000,"400,000",300000,3,100000,300000,,,,,40000,sold 100eggs,40,50000,-1,-1,-1,-1,1,7,16,18,19,1,,,,,,2,,,,,,,,,5,,4,3,,['wages']
2,23969382,0.696327291,30.4589568,1,2,-2,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,10.8m,300,10.8m,2,4,,2,4,milk for home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,20,-2,-2,1,,3,,,,,,,,,,,,,,,,,2 house for rent,['wages']
3,23969383,0.698808661,30.48556936,1,2,3,6,-2,-2,pat labour,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,135m,300,135m,1,2,135m,1,3,home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,['farm costs']
4,23969384,0.696545388,30.45861846,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,14.4m,300,14 4m,1,2,2m,1,2,4.5m,15000L,5L per cow,15m,,,,,,,,,,,,,-1,-1,-1,-1,1,2,3,7,18,3,1,2,,,,4,,,,,,,,,,,5,,,['wages']
5,23969385,0.670849597,30.4826225,1,2,3,4,5,6,paying workers,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,21.6m,300,21.6m,2,5,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['farm costs']
6,23969386,0.681657414,30.48909282,2,6,-2,-2,-2,-2,investments,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,38.4m,300,38.5m,2,4,,2,4,"300,000",60L,,"300,000",350000,5,70000,350000,,,,,,,,,-1,-1,-1,-1,1,16,18,-2,-2,1,,,,,,,,,,,,,,,3,,2,,,['wages']
7,23969387,0.697371611,30.48265654,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,5.4m,300,5.4m,2,4,,2,4,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,13,-2,-2,1,2,,,,,,,,,,,3,,,,,,,,['daily expenses']
8,23969388,0.693609927,30.48793177,1,2,3,6,-2,-2,paying for labour,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,21.6m,300,21.6m,2,5,1500,2,4,Home,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,18,-2,-2,1,3,,,,,,,,,,,,,,,,2,,,['investment']
9,23969389,0.696321961,30.45830551,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,18m,300,18m,2,4,,2,4,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['investment']
