Unnamed: 0,SbjNum,Latitude,Longitude,Q21.Income.Food.O1,Q21.Income.SchoolFees.O2,Q21.Income.MedicalBills.O3,Q21.Income.Clothes.O4,Q21.Income.Energy.O5,Q21.Income.Other.O6,Q21.Income.Other.O6.Text,Q29.Income,Q33.CashCropSold,Q34.CashCropUsed,Q35.CashCropSavedForSeed,Q36.CashCropLost,Q38.CashCropEarnings,Q39.CashCropPx,Q40.CostOfProduction,Q41.AverageYear,Q42.ProductionHigherLower,Q56.ProportionCropsSold,Q57.ProportionCropsUsed,Q58.ProportionCropsSavedSeed,Q59.ProportionCropsLost,Q61.CropEarning,Q62.CropSalePx,Q63.ProductionCost,Q64.AverageYear,Q65.ProductionHigherLower,Q67.RearingLivestock,Q69.AmountEarnedCattle,Q70.NumberCattleSold,Q71.PxPerCattle,Q72.TotalEarningCattle,Q73.AmountEarnedGoats,Q74.NumberGoatsSold,Q75.PxPerGoat,Q76.TotalEarningGoats,Q77.AmountEarnedPigs,Q78.NumberPigsSold,Q79.PxPerPig,Q80.TotalEarningPigs,Q81.AmountEarnedChickens,Q82.NumberChickensSold,Q83.PxPerChicken,Q84.TotalEarningsChickens,Q85.RearOtherAnimal,Q86.OtherAnimalType,Q87.OtherAnimalPx,Q88.TotalEarningOtherAnimal,Q89.MainSourcesIncome.1st,Q89.MainSourcesIncome.2nd,Q89.MainSourcesIncome.3rd,Q89.MainSourcesIncome.4th,Q89.MainSourcesIncome.5th,Q89.MainSourcesIncome.TeaIncome,Q89.MainSourcesIncome.CoffeeIncome,Q89.MainSourcesIncome.BananaIncome,Q89.MainSourcesIncome.MaizeIncome,Q89.MainSourcesIncome.HydroponicsIncome,Q89.MainSourcesIncome.BeansIncome,Q89.MainSourcesIncome.LivestockIncome,Q89.MainSourcesIncome.BeekeepingIncome,Q89.MainSourcesIncome.TreeIncome,Q89.MainSourcesIncome.FishIncome,Q89.MainSourcesIncome.HandicraftIncome,Q89.MainSourcesIncome.KitchenGardenIncome,Q89.MainSourcesIncome.SalaryJobIncome,Q89.MainSourcesIncome.CasualLaborIncome,Q89.MainSourcesIncome.RemitIncome,Q89.MainSourcesIncome.GoatIncome,Q89.MainSourcesIncome.PigIncome,Q89.MainSourcesIncome.CattleIncome,Q89.MainSourcesIncome.ChickenIncome,Q89.MainSourcesIncome.Other,Q104.GoodAgPracticeAware.O1,Q104.GoodAgPracticeAware.O2,Q104.GoodAgPracticeAware.O3,Q104.GoodAgPracticeAware.O4,Q104.GoodAgPracticeAware.O5,Q104.GoodAgPracticeAware.O6,Q104.GoodAgPracticeAware.O7,Q104.GoodAgPracticeAware.O8,Q104.GoodAgPracticeAware.O9,Q104.GoodAgPracticeAware.O10,Q104.GoodAgPracticeAware.O11,Q104.GoodAgPracticeAware.O12,Q104.GoodAgPracticeAware.O13,Q104.GoodAgPracticeAware.O14.Text,Q105.GoodAgPracticeTrained.O1,Q105.GoodAgPracticeTrained.O2,Q105.GoodAgPracticeTrained.O3,Q105.GoodAgPracticeTrained.O4,Q105.GoodAgPracticeTrained.O5,Q105.GoodAgPracticeTrained.O6,Q105.GoodAgPracticeTrained.O7,Q105.GoodAgPracticeTrained.O8,Q105.GoodAgPracticeTrained.O9,Q105.GoodAgPracticeTrained.O10,Q105.GoodAgPracticeTrained.O11,Q105.GoodAgPracticeTrained.O12,Q105.GoodAgPracticeTrained.O13,Q105.GoodAgPracticeTrained.O14,Q105.GoodAgPracticeTrained.O15.Text,Q106.ActiviesPracticed.O1,Q106.ActiviesPracticed.O2,Q106.ActiviesPracticed.O3,Q106.ActiviesPracticed.O4,Q106.ActiviesPracticed.O5,Q106.ActiviesPracticed.O6,Q106.ActiviesPracticed.O7,Q106.ActiviesPracticed.O8,Q106.ActiviesPracticed.O9,Q106.ActiviesPracticed.O10,Q106.ActiviesPracticed.O11,Q106.ActiviesPracticed.O12,Q106.ActiviesPracticed.O13,Q106.ActiviesPracticed.O14.Text,Q108.ChangesInPractice,Q109.WhatChange,Q114.NewBusinessStarted,Q115.WhatNewBusiness,Q117.FromWhereLearned.O1,Q117.FromWhereLearned.O2,Q117.FromWhereLearned.O3,Q117.FromWhereLearned.O4,Q117.FromWhereLearned.O5,Q117.FromWhereLearned.O6,Q117.FromWhereLearned.O7.Text,Q118.CostStarting,Q119.DifferenceToIncome,Q120.HowContributeIncome,Q121.OverallIncomeChange,Q122.WhyIncomeChanged,Q21.Income.Other.O6.Text.Tags
0,23969380,0.708067,30.45203551,1,2,3,-2,-2,-2,,5,100,0,0,5,5.4m,300,"5,400,000",2,5,5,4,4,1,,,,2,4,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,Contures,1,planting coffe,1,-2,-2,-2,-2,-2,,"60,000",2,1,3,it has not yet chsnged becouse the coffee is still young,['wages']
1,23969381,0.704302351,30.46769079,1,2,3,-2,-2,-2,,5,100,0,0,5,3.6m,300,3.6m,1,3,1,3,1,1,"600,000",200sh/kg,2000,1,3,1,"320,000",milk 40l evryday,40000,"400,000",300000,3,100000,300000,,,,,40000,sold 100eggs,40,50000,-1,-1,-1,-1,1,7,16,18,19,1,,,,,,2,,,,,,,,,5,,4,3,,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,I use mulching on tea farms,1,chicken keeping,1,-2,-2,-2,-2,-2,,"200,000",1,3,2,I dont feed them well to get good output,['wages']
2,23969382,0.696327291,30.4589568,1,2,-2,-2,-2,-2,,5,100,0,0,5,10.8m,300,10.8m,2,4,5,4,4,1,,,,2,4,1,milk for home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,20,-2,-2,1,,3,,,,,,,,,,,,,,,,,2 house for rent,1,2,4,5,6,-2,-2,-2,-2,-2,-2,-2,-2,,1,2,3,4,5,6,7,9,-2,-2,-2,-2,-2,-2,,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,"Planting in time helped in good production 
and improved seeds gives good products to",1,we Built houses for rent,1,-2,-2,-2,-2,-2,,7m,1,2,4,we get money from rentals to improve on our income,['wages']
3,23969383,0.698808661,30.48556936,1,2,3,6,-2,-2,pat labour,5,100,0,0,5,135m,300,135m,1,2,5,5,4,5,,,135m,1,3,1,home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Bee keeping,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,2,,,,,,,,,,,,,,['farm costs']
4,23969384,0.696545388,30.45861846,1,2,3,-2,-2,-2,,5,100,0,0,5,14.4m,300,14 4m,1,2,3,1,1,5,1m,2000perKg,2m,1,2,1,4.5m,15000L,5L per cow,15m,,,,,,,,,,,,,-1,-1,-1,-1,1,2,3,7,18,3,1,2,,,,4,,,,,,,,,,,5,,,1,2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Use of fertilizers,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,use of fertilizers,2,,2,,,,,,,,,,,,,,['wages']
5,23969385,0.670849597,30.4826225,1,2,3,4,5,6,paying workers,5,100,0,0,5,21.6m,300,21.6m,2,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,4,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,2,,,,,,,,,,,,,,['farm costs']
6,23969386,0.681657414,30.48909282,2,6,-2,-2,-2,-2,investments,5,100,0,0,5,38.4m,300,38.5m,2,4,4,5,1,5,not yet sold,,,2,4,1,"300,000",60L,,"300,000",350000,5,70000,350000,,,,,,,,,-1,-1,-1,-1,1,16,18,-2,-2,1,,,,,,,,,,,,,,,3,,2,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,Am linked with NARO that give us good quality seeds,1,retail shop,1,-2,-2,-2,-2,-2,,5m,1,1,3,Becouse of low income,['wages']
7,23969387,0.697371611,30.48265654,1,2,3,-2,-2,-2,,5,100,0,0,5,5.4m,300,5.4m,2,4,5,4,1,5,,,,2,4,1,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,13,-2,-2,1,2,,,,,,,,,,,3,,,,,,,,1,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,2,4,6,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,water manegement,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1,using mulching my coffee was not affected,2,,,,,,,,,,,,,,['daily expenses']
8,23969388,0.693609927,30.48793177,1,2,3,6,-2,-2,paying for labour,5,100,0,0,5,21.6m,300,21.6m,2,5,4,4,4,5,300,1500per kg,1500,2,4,1,Home,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,18,-2,-2,1,3,,,,,,,,,,,,,,,,2,,,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NoN,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2,,2,,,,,,,,,,,,,,['investment']
9,23969389,0.696321961,30.45830551,1,2,3,-2,-2,-2,,5,100,0,0,5,18m,300,18m,2,4,5,4,1,5,,,,2,4,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,No,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, non,13,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Non,2,,1,i started a small retail shop,1,-2,-2,-2,-2,-2,,1m,1,1,3,it has just started,['investment']
